Timestamp,Requests_Per_Minute
2026-02-05 15:45:20,6061
2026-02-05 15:46:20,4310
2026-02-05 15:47:20,2128
2026-02-05 15:48:20,6264
2026-02-05 15:49:20,4370
2026-02-05 15:50:20,2213
2026-02-05 15:51:20,6359
2026-02-05 15:52:20,4377
2026-02-05 15:53:20,2134
2026-02-05 15:54:20,6420
2026-02-05 15:55:20,4442
2026-02-05 15:56:20,2093
2026-02-05 15:57:20,6321
2026-02-05 15:58:20,4319
2026-02-05 15:59:20,2195
2026-02-05 16:00:20,6338
2026-02-05 16:01:20,4262
2026-02-05 16:02:20,2137
2026-02-05 16:03:20,6291
2026-02-05 16:04:20,4366
2026-02-05 16:05:20,2063
2026-02-05 16:06:20,6349
2026-02-05 16:07:20,4278
2026-02-05 16:08:20,2168
2026-02-05 16:09:20,6284
2026-02-05 16:10:20,4324
2026-02-05 16:11:20,2073
2026-02-05 16:12:20,6369
2026-02-05 16:13:20,4434
2026-02-05 16:14:20,2120
2026-02-05 16:15:20,6363
2026-02-05 16:16:20,4384
2026-02-05 16:17:20,2167
2026-02-05 16:18:20,6327
2026-02-05 16:19:20,4222
2026-02-05 16:20:20,2155
2026-02-05 16:21:20,6388
2026-02-05 16:22:20,4388
2026-02-05 16:23:20,2129
2026-02-05 16:24:20,6375
2026-02-05 16:25:20,4271
2026-02-05 16:26:20,2171
2026-02-05 16:27:20,6386
2026-02-05 16:28:20,4353
2026-02-05 16:29:20,2010
2026-02-05 16:30:20,6400
2026-02-05 16:31:20,4372
2026-02-05 16:32:20,2188
2026-02-05 16:33:20,6324
2026-02-05 16:34:20,4289
2026-02-05 16:35:20,2168
2026-02-05 16:36:20,6374
2026-02-05 16:37:20,4393
2026-02-05 16:38:20,2098
2026-02-05 16:39:20,6312
2026-02-05 16:40:20,4298
2026-02-05 16:41:20,2032
2026-02-05 16:42:20,6346
2026-02-05 16:43:20,4321
2026-02-05 16:44:20,2054
2026-02-05 16:45:20,6372
2026-02-05 16:46:20,4326
2026-02-05 16:47:20,2113
2026-02-05 16:48:20,6402
2026-02-05 16:49:20,4417
2026-02-05 16:50:20,2125
2026-02-05 16:51:20,6358
2026-02-05 16:52:20,4368
2026-02-05 16:53:20,2113
2026-02-05 16:54:20,6312
2026-02-05 16:55:20,4339
2026-02-05 16:56:20,2176
2026-02-05 16:57:20,6293
2026-02-05 16:58:20,4343
2026-02-05 16:59:20,2063
2026-02-05 17:00:20,6318
